ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
39.125,39.15625,21.46875,30.5,26.96875,7.40625,14.40625,33.9375,15.03125,12.0
39.46875,39.90625,20.65625,29.4375,27.125,7.53125,14.46875,34.4375,15.46875,11.5
40.0625,39.46875,21.28125,30.125,26.40625,7.53125,14.21875,33.5,15.78125,11.625
39.625,39.5,21.15625,30.65625,26.8125,7.53125,14.21875,33.53125,14.8125,12.15625
38.71875,38.65625,21.65625,30.34375,27.03125,8.5,14.46875,33.03125,15.25,12.34375
39.40625,38.5625,21.84375,30.40625,27.3125,7.875,14.0625,34.03125,15.0,11.5
39.8125,39.28125,21.40625,30.15625,27.25,7.59375,13.71875,32.90625,15.6875,12.1875
39.28125,38.28125,20.28125,30.28125,27.71875,7.96875,14.8125,33.5,15.96875,11.90625
38.90625,39.0625,21.5625,29.71875,27.21875,7.75,14.09375,34.125,15.40625,12.15625
39.46875,39.875,20.9375,29.3125,27.625,7.46875,14.28125,33.96875,15.0625,12.0
38.90625,39.5625,20.875,30.21875,26.875,8.5625,15.03125,32.59375,16.125,11.25
38.75,39.09375,21.21875,29.8125,26.53125,7.90625,15.125,33.4375,15.875,12.25
39.09375,40.0,20.5625,30.4375,26.28125,7.9375,14.1875,34.125,15.4375,11.9375
38.09375,37.75,22.3125,31.1875,27.59375,7.46875,13.90625,33.4375,15.15625,13.09375
38.6875,39.125,21.1875,28.75,28.1875,8.15625,15.09375,33.03125,16.03125,11.75
40.125,38.4375,20.53125,30.40625,27.5625,8.09375,13.71875,32.75,16.34375,12.03125
39.5625,39.25,20.90625,29.90625,27.46875,8.0625,13.625,33.4375,16.0,11.78125
38.75,40.09375,21.875,29.875,26.75,7.8125,14.84375,33.21875,15.53125,11.25
38.34375,39.9375,20.90625,30.40625,26.25,7.9375,14.375,33.84375,15.46875,12.53125
38.84375,39.875,20.9375,30.78125,27.09375,8.125,14.25,31.90625,15.65625,12.53125
39.9375,39.90625,21.4375,30.34375,26.59375,7.71875,13.90625,33.5,15.1875,11.46875
38.75,39.1875,21.1875,30.6875,26.4375,7.78125,14.84375,33.90625,15.03125,12.1875
38.3125,39.1875,22.28125,29.78125,26.9375,7.46875,14.03125,33.6875,15.8125,12.5
38.375,39.71875,21.84375,29.375,27.5,7.90625,14.5,33.75,15.0,12.03125
38.375,38.96875,21.34375,30.5,26.78125,8.53125,14.1875,34.40625,15.71875,11.1875
39.53125,39.65625,21.59375,30.125,26.96875,7.3125,13.75,33.8125,15.75,11.5
