ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
20.90625,39.40625,13.71875,15.0625,27.75,18.9375,27.15625,11.65625,25.65625,34.28125,0.0,0.0,5.46875,0.0,0.0
21.09375,38.625,14.46875,15.40625,26.375,19.21875,26.96875,11.4375,25.53125,35.65625,0.0,0.0,5.21875,0.0,0.0
20.96875,39.0,12.875,16.9375,26.8125,18.78125,26.0,11.65625,25.875,35.5,0.0,0.0,5.59375,0.0,0.0
22.53125,37.84375,14.09375,15.90625,26.875,18.96875,25.9375,11.96875,25.25,35.375,0.0,0.0,5.25,0.0,0.0
22.40625,38.4375,12.78125,15.96875,28.0,18.84375,25.21875,11.8125,26.40625,34.78125,0.0,0.0,5.34375,0.0,0.0
21.53125,39.46875,14.21875,14.3125,26.65625,18.75,26.9375,12.34375,24.78125,35.59375,0.0,0.0,5.40625,0.0,0.0
21.875,39.84375,13.46875,14.84375,27.90625,18.84375,26.0625,12.09375,24.84375,35.03125,0.0,0.0,5.1875,0.0,0.0
21.125,39.59375,13.53125,14.53125,27.34375,18.34375,27.28125,11.6875,26.0,35.4375,0.0,0.0,5.125,0.0,0.0
22.875,39.40625,12.78125,15.21875,27.09375,20.0,26.09375,11.8125,25.09375,34.53125,0.0,0.0,5.09375,0.0,0.0
22.9375,38.84375,13.8125,15.03125,27.1875,18.8125,26.78125,11.46875,25.34375,34.6875,0.0,0.0,5.09375,0.0,0.0
20.65625,39.71875,13.90625,15.78125,27.0625,19.9375,26.375,11.5,25.96875,34.125,0.0,0.0,4.96875,0.0,0.0
22.90625,39.125,12.9375,15.75,25.90625,19.375,25.53125,12.5625,24.9375,35.84375,0.0,0.0,5.125,0.0,0.0
22.28125,39.59375,13.8125,14.4375,25.8125,18.59375,27.28125,12.28125,26.40625,34.21875,0.0,0.0,5.28125,0.0,0.0
22.21875,38.78125,12.125,14.6875,27.1875,18.65625,26.6875,11.8125,26.21875,36.125,0.0,0.0,5.5,0.0,0.0
